Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666075970,2022-10-18T06:52:50Z,FIN73P,"52.170959,20.97086",0,0,75
1666076031,2022-10-18T06:53:51Z,FIN73P,"52.170906,20.971233",0,3,75
1666076036,2022-10-18T06:53:56Z,FIN73P,"52.170952,20.970781",0,1,75
1666076053,2022-10-18T06:54:13Z,FIN73P,"52.170914,20.970535",0,3,73
1666076065,2022-10-18T06:54:25Z,FIN73P,"52.170872,20.970331",0,3,73
1666076076,2022-10-18T06:54:36Z,FIN73P,"52.170834,20.970116",0,3,67
1666076087,2022-10-18T06:54:47Z,FIN73P,"52.170788,20.969906",0,3,64
1666076097,2022-10-18T06:54:57Z,FIN73P,"52.170719,20.969702",0,3,73
1666076110,2022-10-18T06:55:10Z,FIN73P,"52.170639,20.969486",0,3,109
1666076123,2022-10-18T06:55:23Z,FIN73P,"52.170696,20.969271",0,3,140
1666076143,2022-10-18T06:55:43Z,FIN73P,"52.170834,20.969067",0,1,157
1666076271,2022-10-18T06:57:51Z,FIN73P,"52.17057,20.969296",0,6,151
1666076278,2022-10-18T06:57:58Z,FIN73P,"52.170326,20.969507",0,10,151
1666076284,2022-10-18T06:58:04Z,FIN73P,"52.170071,20.969742",0,10,151
1666076291,2022-10-18T06:58:11Z,FIN73P,"52.169769,20.970001",0,12,151
1666076297,2022-10-18T06:58:17Z,FIN73P,"52.16946,20.970268",0,13,151
1666076303,2022-10-18T06:58:23Z,FIN73P,"52.16914,20.970554",0,13,151
1666076308,2022-10-18T06:58:28Z,FIN73P,"52.168842,20.970821",0,14,151
1666076315,2022-10-18T06:58:35Z,FIN73P,"52.168476,20.971127",0,15,151
1666076321,2022-10-18T06:58:41Z,FIN73P,"52.168102,20.971468",0,15,151
1666076327,2022-10-18T06:58:47Z,FIN73P,"52.16766,20.971842",0,16,151
1666076334,2022-10-18T06:58:54Z,FIN73P,"52.167252,20.972214",0,16,151
1666076340,2022-10-18T06:59:00Z,FIN73P,"52.166798,20.972586",0,17,151
1666076345,2022-10-18T06:59:05Z,FIN73P,"52.166451,20.9729",0,16,151
1666076352,2022-10-18T06:59:12Z,FIN73P,"52.166008,20.973293",0,16,151
1666076355,2022-10-18T06:59:15Z,FIN73P,"52.16581,20.973568",0,17,135
1666076357,2022-10-18T06:59:17Z,FIN73P,"52.16573,20.973783",0,17,123
1666076360,2022-10-18T06:59:20Z,FIN73P,"52.165627,20.97414",0,16,115
1666076362,2022-10-18T06:59:22Z,FIN73P,"52.165565,20.974371",0,16,112
1666076364,2022-10-18T06:59:24Z,FIN73P,"52.165501,20.974598",0,16,115
1666076366,2022-10-18T06:59:26Z,FIN73P,"52.165421,20.974846",0,16,115
1666076369,2022-10-18T06:59:29Z,FIN73P,"52.16534,20.975132",0,17,115
1666076371,2022-10-18T06:59:31Z,FIN73P,"52.16526,20.975418",0,17,115
1666076373,2022-10-18T06:59:33Z,FIN73P,"52.165192,20.975666",0,17,115
1666076379,2022-10-18T06:59:39Z,FIN73P,"52.164982,20.976412",0,18,115
1666076386,2022-10-18T06:59:46Z,FIN73P,"52.164745,20.977268",0,19,115
1666076392,2022-10-18T06:59:52Z,FIN73P,"52.164528,20.978012",0,20,115
1666076398,2022-10-18T06:59:58Z,FIN73P,"52.164261,20.978943",0,21,115
1666076404,2022-10-18T07:00:04Z,FIN73P,"52.16404,20.979748",0,22,112
1666076410,2022-10-18T07:00:10Z,FIN73P,"52.163773,20.980688",0,22,115
1666076416,2022-10-18T07:00:16Z,FIN73P,"52.163509,20.981598",0,23,115
1666076422,2022-10-18T07:00:22Z,FIN73P,"52.163235,20.982609",0,23,115
1666076427,2022-10-18T07:00:27Z,FIN73P,"52.162983,20.983505",0,24,115
1666076434,2022-10-18T07:00:34Z,FIN73P,"52.162724,20.984417",0,16,115
1666076438,2022-10-18T07:00:38Z,FIN73P,"52.162552,20.984711",0,13,137
1666076442,2022-10-18T07:00:42Z,FIN73P,"52.162342,20.984764",0,14,171
1666076447,2022-10-18T07:00:47Z,FIN73P,"52.162056,20.984535",0,14,205
1666076450,2022-10-18T07:00:50Z,FIN73P,"52.161827,20.984364",0,15,205
1666076454,2022-10-18T07:00:54Z,FIN73P,"52.16161,20.984211",0,15,205
1666076457,2022-10-18T07:00:57Z,FIN73P,"52.161404,20.984039",0,14,205
1666076461,2022-10-18T07:01:01Z,FIN73P,"52.161106,20.983829",0,16,205
1666076468,2022-10-18T07:01:08Z,FIN73P,"52.160629,20.983475",0,18,205
1666076473,2022-10-18T07:01:13Z,FIN73P,"52.160202,20.983162",0,18,205
1666076480,2022-10-18T07:01:20Z,FIN73P,"52.159641,20.982742",0,20,205
1666076489,2022-10-18T07:01:29Z,FIN73P,"52.158802,20.982121",0,22,205
1666076495,2022-10-18T07:01:35Z,FIN73P,"52.158199,20.98167",0,23,205
1666076501,2022-10-18T07:01:41Z,FIN73P,"52.157593,20.981216",0,23,205
1666076507,2022-10-18T07:01:47Z,FIN73P,"52.157089,20.980854",0,22,205
