Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666349580,2022-10-21T10:53:00Z,LOT771,"52.17355,20.970997",0,3,213
1666349596,2022-10-21T10:53:16Z,LOT771,"52.173759,20.971155",0,3,205
1666349610,2022-10-21T10:53:30Z,LOT771,"52.173912,20.971355",0,2,253
1666349630,2022-10-21T10:53:50Z,LOT771,"52.173855,20.971565",0,1,331
1666349738,2022-10-21T10:55:38Z,LOT771,"52.173794,20.971193",0,0,331
1666349783,2022-10-21T10:56:23Z,LOT771,"52.173908,20.971527",0,3,331
1666349798,2022-10-21T10:56:38Z,LOT771,"52.174187,20.971279",0,7,331
1666349805,2022-10-21T10:56:45Z,LOT771,"52.174416,20.971088",0,9,331
1666349811,2022-10-21T10:56:51Z,LOT771,"52.174656,20.970879",0,9,331
1666349817,2022-10-21T10:56:57Z,LOT771,"52.174931,20.970631",0,11,331
1666349823,2022-10-21T10:57:03Z,LOT771,"52.175213,20.970388",0,12,331
1666349830,2022-10-21T10:57:10Z,LOT771,"52.175526,20.970095",0,13,331
1666349836,2022-10-21T10:57:16Z,LOT771,"52.175877,20.96982",0,14,334
1666349842,2022-10-21T10:57:22Z,LOT771,"52.176212,20.969507",0,14,331
1666349847,2022-10-21T10:57:27Z,LOT771,"52.176556,20.9692",0,15,329
1666349851,2022-10-21T10:57:31Z,LOT771,"52.17675,20.96899",0,14,326
1666349855,2022-10-21T10:57:35Z,LOT771,"52.17696,20.968781",0,14,326
1666349859,2022-10-21T10:57:39Z,LOT771,"52.177185,20.968533",0,15,326
1666349864,2022-10-21T10:57:44Z,LOT771,"52.177494,20.968208",0,14,329
1666349868,2022-10-21T10:57:48Z,LOT771,"52.177711,20.967979",0,14,326
1666349880,2022-10-21T10:58:00Z,LOT771,"52.178272,20.96727",0,15,306
1666349883,2022-10-21T10:58:03Z,LOT771,"52.178413,20.966799",0,16,289
1666349887,2022-10-21T10:58:07Z,LOT771,"52.178501,20.966396",0,16,292
1666349892,2022-10-21T10:58:12Z,LOT771,"52.178646,20.965719",0,16,289
1666349897,2022-10-21T10:58:17Z,LOT771,"52.178776,20.965137",0,16,289
1666349902,2022-10-21T10:58:22Z,LOT771,"52.178902,20.964565",0,14,286
1666349905,2022-10-21T10:58:25Z,LOT771,"52.178925,20.964317",0,14,272
1666349907,2022-10-21T10:58:27Z,LOT771,"52.178902,20.964108",0,14,258
1666349909,2022-10-21T10:58:29Z,LOT771,"52.178856,20.963898",0,15,247
1666349913,2022-10-21T10:58:33Z,LOT771,"52.17873,20.963497",0,15,241
1666349916,2022-10-21T10:58:36Z,LOT771,"52.178616,20.963173",0,15,241
1666349921,2022-10-21T10:58:41Z,LOT771,"52.178436,20.96262",0,16,241
1666349925,2022-10-21T10:58:45Z,LOT771,"52.178307,20.962219",0,15,241
