Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1665935204,2022-10-16T15:46:44Z,QTR44Q,"52.178993,20.960999",0,0,326
1665935308,2022-10-16T15:48:28Z,QTR44Q,"52.178787,20.961187",0,2,329
1665935329,2022-10-16T15:48:49Z,QTR44Q,"52.17857,20.961361",0,2,331
1665935347,2022-10-16T15:49:07Z,QTR44Q,"52.178368,20.961462",0,2,312
1665935370,2022-10-16T15:49:30Z,QTR44Q,"52.178181,20.961666",0,2,253
1665935382,2022-10-16T15:49:42Z,QTR44Q,"52.178181,20.961874",0,2,236
1665935625,2022-10-16T15:53:45Z,QTR44Q,"52.178112,20.961658",0,2,236
1665935637,2022-10-16T15:53:57Z,QTR44Q,"52.178043,20.961456",0,3,236
1665935647,2022-10-16T15:54:07Z,QTR44Q,"52.177971,20.961246",0,3,236
1665935656,2022-10-16T15:54:16Z,QTR44Q,"52.177906,20.960999",0,4,239
1665935663,2022-10-16T15:54:23Z,QTR44Q,"52.177879,20.960775",0,6,250
1665935670,2022-10-16T15:54:30Z,QTR44Q,"52.177937,20.960463",0,7,278
1665935675,2022-10-16T15:54:35Z,QTR44Q,"52.178028,20.960207",0,8,292
1665935679,2022-10-16T15:54:39Z,QTR44Q,"52.178112,20.959988",0,8,298
1665935684,2022-10-16T15:54:44Z,QTR44Q,"52.178226,20.959721",0,9,298
1665935689,2022-10-16T15:54:49Z,QTR44Q,"52.178333,20.959482",0,8,298
1665935694,2022-10-16T15:54:54Z,QTR44Q,"52.178425,20.959246",0,8,298
1665935700,2022-10-16T15:55:00Z,QTR44Q,"52.178543,20.958933",0,7,298
1665935706,2022-10-16T15:55:06Z,QTR44Q,"52.17865,20.958672",0,6,298
1665935712,2022-10-16T15:55:12Z,QTR44Q,"52.178726,20.958462",0,5,298
1665935719,2022-10-16T15:55:19Z,QTR44Q,"52.17881,20.958252",0,4,298
1665935726,2022-10-16T15:55:26Z,QTR44Q,"52.17889,20.958042",0,4,298
1665935734,2022-10-16T15:55:34Z,QTR44Q,"52.178947,20.957834",0,5,292
1665935739,2022-10-16T15:55:39Z,QTR44Q,"52.17897,20.957584",0,6,278
1665935745,2022-10-16T15:55:45Z,QTR44Q,"52.178947,20.957355",0,6,261
1665935751,2022-10-16T15:55:51Z,QTR44Q,"52.178879,20.957108",0,6,244
1665935757,2022-10-16T15:55:57Z,QTR44Q,"52.178799,20.956892",0,5,239
1665935763,2022-10-16T15:56:03Z,QTR44Q,"52.17873,20.956688",0,5,236
1665935769,2022-10-16T15:56:09Z,QTR44Q,"52.17865,20.956478",0,5,236
1665935775,2022-10-16T15:56:15Z,QTR44Q,"52.178566,20.956264",0,5,233
1665935785,2022-10-16T15:56:25Z,QTR44Q,"52.178318,20.956173",0,6,188
1665935805,2022-10-16T15:56:45Z,QTR44Q,"52.177849,20.956593",0,3,149
1665935827,2022-10-16T15:57:07Z,QTR44Q,"52.178936,20.957928",0,0,149
1665935914,2022-10-16T15:58:34Z,QTR44Q,"52.17762,20.956783",0,9,149
1665935960,2022-10-16T15:59:20Z,QTR44Q,"52.157593,20.974121",375,163,152
1665935968,2022-10-16T15:59:28Z,QTR44Q,"52.152512,20.978546",650,164,151
1665935973,2022-10-16T15:59:33Z,QTR44Q,"52.148804,20.981903",875,164,151
1665935981,2022-10-16T15:59:41Z,QTR44Q,"52.143768,20.986319",1175,165,151
1665935987,2022-10-16T15:59:47Z,QTR44Q,"52.141438,20.988281",1400,165,151
1665935993,2022-10-16T15:59:53Z,QTR44Q,"52.135899,20.993069",1600,166,152
1665935999,2022-10-16T15:59:59Z,QTR44Q,"52.131523,20.996836",1800,166,151
1665936004,2022-10-16T16:00:04Z,QTR44Q,"52.128124,20.999817",1975,167,151
1665936010,2022-10-16T16:00:10Z,QTR44Q,"52.124168,21.003269",2175,167,151
1665936016,2022-10-16T16:00:16Z,QTR44Q,"52.120026,21.006643",2375,166,154
1665936019,2022-10-16T16:00:19Z,QTR44Q,"52.117813,21.008072",2475,166,158
1665936022,2022-10-16T16:00:22Z,QTR44Q,"52.115089,21.009233",2600,164,166
1665936025,2022-10-16T16:00:25Z,QTR44Q,"52.113098,21.00975",2675,162,170
1665936028,2022-10-16T16:00:28Z,QTR44Q,"52.11076,21.009939",2775,161,176
1665936031,2022-10-16T16:00:31Z,QTR44Q,"52.108711,21.009705",2850,159,182
1665936034,2022-10-16T16:00:34Z,QTR44Q,"52.107269,21.009312",2900,157,192
1665936038,2022-10-16T16:00:38Z,QTR44Q,"52.104538,21.007996",3050,156,199
1665936041,2022-10-16T16:00:41Z,QTR44Q,"52.10257,21.006546",3125,155,206
1665936044,2022-10-16T16:00:44Z,QTR44Q,"52.100334,21.00429",3225,154,213
1665936047,2022-10-16T16:00:47Z,QTR44Q,"52.098816,21.00235",3325,156,217
1665936050,2022-10-16T16:00:50Z,QTR44Q,"52.097168,21.000288",3400,156,218
1665936053,2022-10-16T16:00:53Z,QTR44Q,"52.095306,20.997934",3450,161,217
1665936056,2022-10-16T16:00:56Z,QTR44Q,"52.093414,20.995636",3475,166,216
1665936059,2022-10-16T16:00:59Z,QTR44Q,"52.091629,20.99346",3525,170,216
1665936062,2022-10-16T16:01:02Z,QTR44Q,"52.089535,20.99095",3575,173,216
1665936065,2022-10-16T16:01:05Z,QTR44Q,"52.087646,20.988693",3600,176,216
1665936068,2022-10-16T16:01:08Z,QTR44Q,"52.085575,20.986162",3650,182,216
1665936071,2022-10-16T16:01:11Z,QTR44Q,"52.083527,20.983652",3675,186,216
1665936077,2022-10-16T16:01:17Z,QTR44Q,"52.079197,20.978708",3750,194,214
1665936080,2022-10-16T16:01:20Z,QTR44Q,"52.077385,20.976746",3800,200,212
1665936083,2022-10-16T16:01:23Z,QTR44Q,"52.074356,20.973606",3825,204,211
1665936086,2022-10-16T16:01:26Z,QTR44Q,"52.072128,20.971451",3850,208,210
1665936089,2022-10-16T16:01:29Z,QTR44Q,"52.069427,20.969009",3925,211,209
1665936092,2022-10-16T16:01:32Z,QTR44Q,"52.066769,20.966543",4000,214,208
1665936095,2022-10-16T16:01:35Z,QTR44Q,"52.064392,20.964432",4075,217,208
1665936098,2022-10-16T16:01:38Z,QTR44Q,"52.061325,20.961685",4100,224,209
1665936101,2022-10-16T16:01:41Z,QTR44Q,"52.058578,20.959244",4175,227,209
1665936104,2022-10-16T16:01:44Z,QTR44Q,"52.055737,20.956577",4225,231,209
1665936110,2022-10-16T16:01:50Z,QTR44Q,"52.050156,20.951462",4350,237,209
1665936116,2022-10-16T16:01:56Z,QTR44Q,"52.044609,20.946377",4500,244,209
1665936122,2022-10-16T16:02:02Z,QTR44Q,"52.038235,20.940569",4700,247,209
1665936128,2022-10-16T16:02:08Z,QTR44Q,"52.032715,20.935593",4925,250,209
1665936134,2022-10-16T16:02:14Z,QTR44Q,"52.026081,20.929583",5150,252,209
1665936146,2022-10-16T16:02:26Z,QTR44Q,"52.013607,20.918203",5675,256,209
1665936158,2022-10-16T16:02:38Z,QTR44Q,"52.001129,20.906982",6200,258,208
1665936170,2022-10-16T16:02:50Z,QTR44Q,"51.988129,20.895386",6650,263,208
1665936182,2022-10-16T16:03:02Z,QTR44Q,"51.975342,20.883911",7100,266,208
1665936194,2022-10-16T16:03:14Z,QTR44Q,"51.963657,20.873396",7600,268,208
1665936206,2022-10-16T16:03:26Z,QTR44Q,"51.949585,20.860748",8100,270,209
1665936217,2022-10-16T16:03:37Z,QTR44Q,"51.937546,20.849762",8550,272,209
1665936228,2022-10-16T16:03:48Z,QTR44Q,"51.926228,20.839338",8975,273,209
1665936240,2022-10-16T16:04:00Z,QTR44Q,"51.912094,20.826721",9475,276,208
1665936252,2022-10-16T16:04:12Z,QTR44Q,"51.899227,20.815168",9950,278,209
1665936264,2022-10-16T16:04:24Z,QTR44Q,"51.885635,20.802835",10350,282,209
1665936275,2022-10-16T16:04:35Z,QTR44Q,"51.87344,20.791702",10500,292,209
1665936287,2022-10-16T16:04:47Z,QTR44Q,"51.85881,20.778412",10700,304,209
1665936299,2022-10-16T16:04:59Z,QTR44Q,"51.84549,20.76646",10900,315,208
1665936312,2022-10-16T16:05:12Z,QTR44Q,"51.825863,20.748825",11125,328,209
1665936324,2022-10-16T16:05:24Z,QTR44Q,"51.809509,20.734097",11350,338,209
1665936336,2022-10-16T16:05:36Z,QTR44Q,"51.793213,20.719622",11675,343,208
1665936348,2022-10-16T16:05:48Z,QTR44Q,"51.778519,20.706558",12100,345,208
1665936379,2022-10-16T16:06:19Z,QTR44Q,"51.733612,20.666471",13275,350,209
1665936411,2022-10-16T16:06:51Z,QTR44Q,"51.686829,20.624603",14375,356,209
